POINT_X,POINT_Y
13232022.9,3786727.849
13232498.89,3787001.905
13233026.47,3787054.95
13233560.97,3787098.19
13234095.83,3787135.348
13234630.69,3787172.506
13235165.15,3787164.488
13235699.25,3787114.197
13236231.84,3787046.452
13236764.14,3786974.363
13237296.44,3786902.275
13237828.74,3786830.187
13238361.04,3786758.099
13238893.33,3786686.012
13239426.87,3786658.701
13239962.02,3786689.59
13240497.11,3786721.705
13241031.94,3786759.367
13241566.78,3786796.992
13242101.61,3786834.604
13242636.45,3786872.215
13243171.29,3786909.773
13243706.25,3786944.336
13244241.77,3786963.928
13244777.3,3786983.619
13245312.44,3787014.607
13245847.58,3787045.595
13246382.72,3787076.583
13246917.86,3787107.571
13247442.76,3787214.062
13247959.27,3787382.312
13248473.79,3787558.274
13248987.98,3787734.349
13249497.24,3787930.742
13249999.31,3788150.272
13250435.97,3788513.662
13250861.15,3788898.901
13251286.33,3789284.152
13251693.58,3789691.878
13252043.71,3790171.157
13252396.58,3790647.587
13252757.99,3791115.059
13253121.73,3791579.933
13253440.88,3792085.779
13253739.32,3792611.751
13254037.75,3793137.746
13254376.88,3793626.588
13254732.23,3794100.635
13255154.24,3794479.244
13255602.46,3794825.052
